iter	MultiClass
0	1.004500931
1	0.9160441832
2	0.8458493087
3	0.7754960579
4	0.7225280735
5	0.6709354624
6	0.6290759929
7	0.5865680301
8	0.5502519624
9	0.5174580225
10	0.4877117223
11	0.4603694406
12	0.4378755178
13	0.4139760667
14	0.3905198846
15	0.3717205136
16	0.3542381297
17	0.3364417755
18	0.3215821225
19	0.3068606
20	0.2939384604
21	0.2791157168
22	0.2729695105
23	0.2596099603
24	0.2462985755
25	0.2368966505
26	0.2252535129
27	0.2179272359
28	0.210694195
29	0.2021951074
30	0.1947479202
31	0.1869459968
32	0.1801010226
33	0.173378072
34	0.1665924209
35	0.1612088877
36	0.1543009133
37	0.149299152
38	0.1439270689
39	0.1388482946
40	0.1344375461
41	0.1299339309
42	0.1250608832
43	0.121545503
44	0.1168633287
45	0.1133770849
46	0.110033191
47	0.1062036014
48	0.102972657
49	0.09979541352
50	0.09748034755
51	0.09504972814
52	0.09212170499
53	0.08982544705
54	0.08791713182
55	0.08557193744
56	0.08334882412
57	0.0816337042
58	0.07961474421
59	0.07807591991
60	0.07657259327
61	0.07468029738
62	0.0727497306
63	0.07140282289
64	0.06984301415
65	0.06802307994
66	0.06683372672
67	0.06549663553
68	0.06415242631
69	0.06279699909
70	0.06174252648
71	0.06022003942
72	0.0584923975
73	0.05765542725
74	0.05656949308
75	0.05552260866
76	0.05465026251
77	0.05376685718
78	0.05256277048
79	0.05161531585
80	0.05022608389
81	0.04944374398
82	0.04873713336
83	0.04783791839
84	0.04661007729
85	0.0456614459
86	0.04464568277
87	0.04381219966
88	0.04275578915
89	0.04194775638
90	0.04134526331
91	0.04076039172
92	0.0399849469
93	0.03937781721
94	0.03878926938
95	0.03833334264
96	0.03757909864
97	0.03691581476
98	0.0362856669
99	0.03571403032
100	0.03516795267
101	0.03444369617
102	0.03369841951
103	0.03302144824
104	0.03257118413
105	0.03223392625
106	0.03169799229
107	0.03109176118
108	0.03065373636
109	0.03016756498
110	0.02963491492
111	0.02912560071
112	0.02868548467
113	0.02825649478
114	0.02782366343
115	0.02753254738
116	0.02713271866
117	0.02687713455
118	0.02637668671
119	0.02601535246
120	0.02575741783
121	0.02550433605
122	0.02511924774
123	0.02488572134
124	0.02450908316
125	0.02421574429
126	0.02389063515
127	0.02357965753
128	0.02327498797
129	0.02299657867
130	0.02266227894
131	0.02244450072
132	0.02213267685
133	0.0219294379
134	0.021670943
135	0.02131322564
136	0.02103917599
137	0.02082891231
138	0.02056399907
139	0.02024004912
140	0.02005810734
141	0.01983725187
142	0.01968175316
143	0.01941736323
144	0.01919414549
145	0.01894282882
146	0.01874196648
147	0.01858467103
148	0.01839132775
149	0.01819594787
150	0.01800773859
151	0.01779823418
152	0.01762767235
153	0.01738198133
154	0.0171759913
155	0.0170464271
156	0.01689642807
157	0.01676915393
158	0.01657908533
159	0.01635805029
160	0.01620401856
161	0.0160086961
162	0.01586176302
163	0.01569146703
164	0.01553430087
165	0.01546645994
166	0.01536886017
167	0.01523450366
168	0.0151026273
169	0.01498443967
170	0.01487405721
171	0.01473750423
172	0.01455847213
173	0.01445313768
174	0.01433355713
175	0.01423434689
176	0.0141511589
177	0.01403217283
178	0.01388717891
179	0.01379045187
180	0.01365147191
181	0.01354782948
182	0.01339821804
183	0.01327326995
184	0.01317641663
185	0.01306204074
186	0.01298010043
187	0.01290629748
188	0.01281716373
189	0.01274567354
190	0.0126459776
191	0.01256718917
192	0.01247703269
193	0.01238046104
194	0.0122727841
195	0.01217294496
196	0.01208470007
197	0.01200612873
198	0.01192155476
199	0.01185123627
200	0.01179011708
201	0.01171938634
202	0.01162383282
203	0.01157144092
204	0.01148375171
205	0.01138347432
206	0.0113064377
207	0.0112029417
208	0.01115666944
209	0.01108292131
210	0.01099814243
211	0.0109245666
212	0.0108509465
213	0.01076175063
214	0.01066685972
215	0.01061343999
216	0.01055178615
217	0.01049424146
218	0.01042101002
219	0.01035129746
220	0.01028343946
221	0.01022642634
222	0.01017373424
223	0.01009613085
224	0.01005482499
225	0.009971692593
226	0.009912718928
227	0.009860637771
228	0.00981136519
229	0.009770063126
230	0.009698412336
231	0.009638073945
232	0.009559795257
233	0.009502259438
234	0.009448516552
235	0.009370484357
236	0.009320406154
237	0.009257199501
238	0.00921665921
239	0.009176884054
240	0.009131355655
241	0.009087837944
242	0.009035336247
243	0.008994578725
244	0.008957929819
245	0.008908678818
246	0.008869580257
247	0.008818578846
248	0.00877525217
249	0.008746681899
250	0.00869794318
251	0.008627138866
252	0.008588300704
253	0.008533859468
254	0.008481138581
255	0.008452677297
256	0.008397899843
257	0.008352572929
258	0.008316775097
259	0.008282788295
260	0.008241810726
261	0.008199369001
262	0.008159833887
263	0.008100785007
264	0.008051715218
265	0.008020663471
266	0.007977370224
267	0.007940057893
268	0.007888954334
269	0.007840482538
270	0.007807426821
271	0.007774978737
272	0.007730902578
273	0.007685236941
274	0.007644806394
275	0.007602590518
276	0.007559400153
277	0.007507890279
278	0.007466900688
279	0.00741753934
280	0.007376884077
281	0.007335667722
282	0.007285156246
283	0.007265210755
284	0.007238021847
285	0.007195598797
286	0.007169664603
287	0.007140932468
288	0.007100247028
289	0.007079124555
290	0.00703930137
291	0.006999415897
292	0.006970293011
293	0.006938819522
294	0.006906227995
295	0.006869356223
296	0.006834657255
297	0.006805301781
298	0.006777126894
299	0.006753442452
300	0.006719093523
301	0.006687896175
302	0.006664381751
303	0.006642983451
304	0.006613474003
305	0.006585242837
306	0.006562969065
307	0.006536976333
308	0.006520354604
309	0.006501853101
310	0.00648020173
311	0.006453288577
312	0.006418902576
313	0.006385367925
314	0.006358240902
315	0.006328039057
316	0.006290707497
317	0.006266241181
318	0.006241435838
319	0.006214163183
320	0.006189417701
321	0.006159234371
322	0.006137886048
323	0.00611133782
324	0.006091766399
325	0.006060914371
326	0.006037868761
327	0.006017595713
328	0.005989236511
329	0.005966460143
330	0.005944595993
331	0.005921262424
332	0.005899825681
333	0.005872309483
334	0.00584788717
335	0.005820226932
336	0.005805464296
337	0.005781021066
338	0.005759437147
339	0.005732996571
340	0.00571323959
341	0.00569811971
342	0.005671228569
343	0.005643666183
344	0.005619368244
345	0.005592112669
346	0.005567633814
347	0.005545627017
348	0.005528540997
349	0.005510081225
350	0.005491329691
351	0.005473607907
352	0.005457277037
353	0.005429607942
354	0.005410470988
355	0.00539611552
356	0.005377340173
357	0.005353208937
358	0.00534038043
359	0.005319145609
360	0.005295699036
361	0.005282530598
362	0.005266915694
363	0.005254452216
364	0.005232691948
365	0.005214850803
366	0.005192825757
367	0.005172005164
368	0.005153985008
369	0.005138194612
370	0.005124910853
371	0.005107602926
372	0.005089350415
373	0.005068553438
374	0.005047205133
375	0.005034000773
376	0.005015036022
377	0.004998111645
378	0.004982305694
379	0.004967704043
380	0.004952942644
381	0.004937820439
382	0.004918578909
383	0.0049040022
384	0.004888123453
385	0.004867338803
386	0.004851070091
387	0.004839396637
388	0.0048210136
389	0.004807644627
